,Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Available
0,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),0 days 15:45:00,04h 45m,0 days 20:30:00,2.7,298.00,14
1,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 14:30:00,04h 00m,0 days 18:30:00,4.7,432.06,7
2,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 15:30:00,03h 45m,0 days 19:15:00,4.6,389.13,5
3,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),0 days 18:30:00,09h 15m,0 days 03:45:00,0.0,380.00,15
4,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON A/C Seater (2+2),0 days 23:40:00,04h 20m,0 days 04:00:00,2.2,450.00,21
5,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),0 days 22:15:00,05h 30m,0 days 03:45:00,3.8,550.00,16
6,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),0 days 15:15:00,04h 00m,0 days 19:15:00,4.3,298.00,7
7,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),0 days 15:00:00,03h 40m,0 days 18:40:00,4.5,360.00,25
8,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),0 days 15:35:00,03h 40m,0 days 19:15:00,4.1,360.00,32
9,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),0 days 16:15:00,03h 25m,0 days 19:40:00,4.2,360.00,17
10,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater (2+1),0 days 18:00:00,05h 30m,0 days 23:30:00,3.4,400.00,10
11,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),0 days 20:00:00,04h 00m,0 days 00:00:00,3.6,400.00,8
12,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 20:15:00,05h 00m,0 days 01:15:00,3.4,450.00,11
13,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),0 days 20:45:00,05h 45m,0 days 02:30:00,3.4,500.00,18
14,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 21:15:00,04h 00m,0 days 01:15:00,3.5,450.00,23
15,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 21:45:00,04h 15m,0 days 02:00:00,3.9,450.00,32
16,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahalaxmi Travels,Tata A/C Seater (2+2),0 days 14:35:00,03h 55m,0 days 18:30:00,2.7,300.00,34
17,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Kalpana Travels,Non AC Seater (2+2),0 days 16:45:00,03h 45m,0 days 20:30:00,2.2,318.00,35
18,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Brindaban Travels,Non AC Seater (2+2),0 days 17:15:00,04h 00m,0 days 21:15:00,2.0,300.00,35
19,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),0 days 18:45:00,28h 45m,0 days 23:30:00,0.0,398.00,19
20,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),0 days 20:00:00,05h 15m,0 days 01:15:00,2.6,500.00,20
21,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Himalayan Travels,NON A/C Seater (2+2),0 days 20:30:00,06h 00m,0 days 02:30:00,0.0,450.00,26
22,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,KIRAN TRAVELS,A/C Seater (2+1),0 days 20:40:00,03h 50m,0 days 00:30:00,3.1,600.00,6
23,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),0 days 21:30:00,05h 00m,0 days 02:30:00,4.1,550.00,12
24,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 16:00:00,02h 30m,0 days 18:30:00,4.8,324.04,3
25,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 17:00:00,02h 15m,0 days 19:15:00,4.3,377.79,5
26,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),0 days 14:50:00,03h 00m,0 days 17:50:00,0.0,278.00,28
